scheme_name,starting_nav,5th_percentile,25th_percentile,median,75th_percentile,95th_percentile
Nippon Large Cap,110.5554,185.16584074031786,250.63523719826415,312.7291944994446,387.29065642427344,524.4906603389678
Axis Bluechip,50.8387,40.87655061185149,55.500872575480464,68.5396505642023,85.26262844330012,114.17819165999514
SBI Bluechip,149.3216,273.5417305051583,366.4742137405585,451.34594967003466,552.5520066655116,754.9089006191647
ICICI Bluechip,118.1496,166.9341706785837,220.54696966206419,273.49264163758534,338.2586667798595,460.5753938558303
Kotak Bluechip,482.127,554.6358962268056,727.805257707225,885.9991169827134,1092.1887465214947,1451.7414942483163
